                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2555,                0.83087,                 1.1315,                0.73863,                0.79688,                0.78812,                0.40364,                  1.627,                 1.0944,                 1.3898,              0.0015842,              0.0015842,              0.0015842
                     45,                 1.2155,                 0.7927,                 1.1028,                0.76853,                0.71875,                0.75381,                0.39263,                 1.5705,                 1.1091,                 1.4098,              0.0015743,              0.0015743,              0.0015743
                     46,                 1.2396,                0.79138,                 1.1282,                0.82118,                0.78937,                0.79831,                0.41969,                 1.6125,                 1.0906,                 1.4474,              0.0015644,              0.0015644,              0.0015644
                     47,                 1.2481,                0.79994,                 1.1651,                0.81593,                0.70312,                0.79346,                 0.4082,                 1.6636,                 1.1041,                 1.4191,              0.0015545,              0.0015545,              0.0015545
                     48,                 1.2301,                0.84518,                  1.136,                 0.7339,                0.77573,                0.78198,                0.42171,                 1.6098,                 1.1026,                 1.4069,              0.0015446,              0.0015446,              0.0015446
                     49,                 1.1781,                0.78352,                 1.1139,                0.75252,                 0.8125,                0.82233,                0.37188,                 1.7078,                 1.0356,                 1.4336,              0.0015347,              0.0015347,              0.0015347
                     50,                 1.2221,                0.76963,                 1.1342,                0.73231,                0.85938,                0.84999,                0.44909,                 1.5541,                0.94087,                 1.3653,              0.0015248,              0.0015248,              0.0015248
                     51,                 1.2182,                 0.7845,                  1.141,                0.79827,                0.82812,                0.82709,                0.40734,                 1.6446,                 1.0332,                 1.3973,              0.0015149,              0.0015149,              0.0015149
                     52,                 1.2299,                0.78652,                 1.1288,                0.83153,                0.73438,                0.78629,                0.38245,                 1.7253,                 1.0889,                 1.4389,               0.001505,               0.001505,               0.001505
                     53,                 1.2356,                 0.7405,                  1.166,                0.75517,                0.79688,                0.76975,                 0.3635,                  1.746,                 1.0706,                 1.4716,              0.0014951,              0.0014951,              0.0014951
                     54,                 1.2022,                0.73534,                 1.1638,                0.78084,                 0.6875,                0.76492,                0.33479,                 1.9201,                 1.1702,                 1.5994,              0.0014852,              0.0014852,              0.0014852
                     55,                 1.1688,                0.75138,                 1.1284,                0.76331,                0.65508,                0.72033,                0.34085,                  1.889,                 1.2881,                 1.5573,              0.0014753,              0.0014753,              0.0014753
                     56,                  1.153,                 0.7279,                 1.1221,                0.80139,                0.78125,                0.78149,                0.39673,                 1.7771,                 1.1382,                  1.417,              0.0014654,              0.0014654,              0.0014654
